period,respondent,respondent-name,fueltype,type-name,value,value-units
2024-01-01T23,CPLE,Duke Energy Progress East,SUN,Solar,27,megawatthours
2024-01-01T23,PNM,Public Service Company of New Mexico,NG,Natural gas,442,megawatthours
2024-01-01T23,CAL,California,WND,Wind,465,megawatthours
2024-01-01T23,TEX,Texas,WAT,Hydro,18,megawatthours
2024-01-01T23,CPLW,Duke Energy Progress West,NG,Natural gas,360,megawatthours
2024-01-01T23,SOCO,"Southern Company Services, Inc. - Trans",NG,Natural gas,15327,megawatthours
2024-01-01T23,GRID,"Gridforce Energy Management, LLC",SUN,Solar,35,megawatthours
2024-01-01T23,CPLE,Duke Energy Progress East,NG,Natural gas,1692,megawatthours
2024-01-01T23,NEVP,Nevada Power Company,COL,Coal,228,megawatthours
2024-01-01T23,TEN,Tennessee,OTH,Other,23,megawatthours
2024-01-01T23,FLA,Florida,SUN,Solar,160,megawatthours
2024-01-01T23,NE,New England,SUN,Solar,1,megawatthours
2024-01-01T23,PSEI,"Puget Sound Energy, Inc.",COL,Coal,0,megawatthours
2024-01-01T23,SCEG,"Dominion Energy South Carolina, Inc.",NG,Natural gas,1200,megawatthours
2024-01-01T23,CHPD,Public Utility District No. 1 of Chelan County,WAT,Hydro,829,megawatthours
2024-01-01T23,JEA,JEA,OTH,Other,4,megawatthours
2024-01-01T23,LDWP,Los Angeles Department of Water and Power,WAT,Hydro,28,megawatthours
2024-01-01T23,PSEI,"Puget Sound Energy, Inc.",OIL,Petroleum,0,megawatthours
2024-01-01T23,PJM,"PJM Interconnection, LLC",NG,Natural gas,45358,megawatthours
2024-01-01T23,TEX,Texas,NG,Natural gas,20710,megawatthours
2024-01-01T23,HST,City of Homestead,NG,Natural gas,0,megawatthours
2024-01-01T23,FLA,Florida,OTH,Other,3244,megawatthours
2024-01-01T23,CENT,Central,COL,Coal,9137,megawatthours
2024-01-01T23,TEX,Texas,NUC,Nuclear,5115,megawatthours
2024-01-01T23,NE,New England,WND,Wind,63,megawatthours
2024-01-01T23,ERCO,"Electric Reliability Council of Texas, Inc.",WAT,Hydro,18,megawatthours
2024-01-01T23,SE,Southeast,NG,Natural gas,15327,megawatthours
2024-01-01T23,FLA,Florida,WAT,Hydro,39,megawatthours
2024-01-01T23,SEC,Seminole Electric Cooperative,SUN,Solar,0,megawatthours
2024-01-01T23,FMPP,Florida Municipal Power Pool,OTH,Other,17,megawatthours
2024-01-01T23,NE,New England,NG,Natural gas,7559,megawatthours
