period,subba,subba-name,parent,parent-name,value,value-units
2024-01-01T23,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,8871,megawatthours
2024-01-01T23,WR,Westar Energy,SWPP,Southwest Power Pool,3460,megawatthours
2024-01-01T23,WFEC,Western Farmers Electric Cooperative,SWPP,Southwest Power Pool,1107,megawatthours
2024-01-01T23,WAUE,Western Area Power Upper Great Plains East,SWPP,Southwest Power Pool,4311,megawatthours
2024-01-01T23,SPS,Southwestern Public Service Company,SWPP,Southwest Power Pool,3430,megawatthours
2024-01-01T23,SPRM,City of Springfield,SWPP,Southwest Power Pool,364,megawatthours
2024-01-01T23,SECI,Sunflower Electric,SWPP,Southwest Power Pool,626,megawatthours
2024-01-01T23,OPPD,Omaha Public Power District,SWPP,Southwest Power Pool,1534,megawatthours
2024-01-01T23,OKGE,Oklahoma Gas and Electric Co.,SWPP,Southwest Power Pool,3698,megawatthours
2024-01-01T23,NPPD,Nebraska Public Power District,SWPP,Southwest Power Pool,1877,megawatthours
2024-01-01T23,MPS,KCP&L Greater Missouri Operations,SWPP,Southwest Power Pool,985,megawatthours
2024-01-01T23,LES,Lincoln Electric System,SWPP,Southwest Power Pool,391,megawatthours
2024-01-01T23,KCPL,Kansas City Power & Light,SWPP,Southwest Power Pool,1810,megawatthours
2024-01-01T23,KACY,Kansas City Board of Public Utilities,SWPP,Southwest Power Pool,249,megawatthours
2024-01-01T23,INDN,Independence Power & Light,SWPP,Southwest Power Pool,114,megawatthours
2024-01-01T23,GRDA,Grand River Dam Authority,SWPP,Southwest Power Pool,783,megawatthours
2024-01-01T23,EDE,Empire District Electric Company,SWPP,Southwest Power Pool,660,megawatthours
2024-01-01T23,CSWS,AEPW American Electric Power West,SWPP,Southwest Power Pool,5020,megawatthours
2024-01-01T23,CYGA,City of Gallup,PNM,Public Service Company of New Mexico,22,megawatthours
2024-01-01T23,TSGT,Tri-State Generation and Transmission,PNM,Public Service Company of New Mexico,290,megawatthours
2024-01-01T23,PNM,PNM System Firm Load,PNM,Public Service Company of New Mexico,1067,megawatthours
2024-01-01T23,NTUA,Navajo Tribal Utility Authority,PNM,Public Service Company of New Mexico,32,megawatthours
2024-01-01T23,LAC,Los Alamos County,PNM,Public Service Company of New Mexico,75,megawatthours
2024-01-01T23,KCEC,Kit Carson Electric Cooperative,PNM,Public Service Company of New Mexico,46,megawatthours
2024-01-01T23,KAFB,Kirtland Air Force Base,PNM,Public Service Company of New Mexico,45,megawatthours
2024-01-01T23,Jica,Jicarilla Apache Nation,PNM,Public Service Company of New Mexico,2,megawatthours
2024-01-01T23,Frep,Freeport,PNM,Public Service Company of New Mexico,80,megawatthours
2024-01-01T23,RECO,Rockland Electric (East) zone,PJM,"PJM Interconnection, LLC",174,megawatthours
2024-01-01T23,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",5095,megawatthours
2024-01-01T23,PN,Pennsylvania Electric zone,PJM,"PJM Interconnection, LLC",2169,megawatthours
2024-01-01T23,PL,Pennsylvania Power & Light zone,PJM,"PJM Interconnection, LLC",5109,megawatthours
2024-01-01T23,PEP,Potomac Electric Power zone,PJM,"PJM Interconnection, LLC",3745,megawatthours
2024-01-01T23,PE,PECO Energy zone,PJM,"PJM Interconnection, LLC",4759,megawatthours
2024-01-01T23,ME,Metropolitan Edison zone,PJM,"PJM Interconnection, LLC",1859,megawatthours
2024-01-01T23,JC,Jersey Central Power & Light zone,PJM,"PJM Interconnection, LLC",2791,megawatthours
2024-01-01T23,EKPC,East Kentucky Power Cooperative zone,PJM,"PJM Interconnection, LLC",2114,megawatthours
2024-01-01T23,DUQ,Duquesne Lighting Company zone,PJM,"PJM Interconnection, LLC",1629,megawatthours
2024-01-01T23,DPL,Delmarva Power & Light zone,PJM,"PJM Interconnection, LLC",2386,megawatthours
2024-01-01T23,DOM,Dominion Virginia Power zone,PJM,"PJM Interconnection, LLC",15686,megawatthours
2024-01-01T23,DEOK,Duke Energy Ohio/Kentucky zone,PJM,"PJM Interconnection, LLC",3128,megawatthours
2024-01-01T23,DAY,Dayton Power & Light zone,PJM,"PJM Interconnection, LLC",2043,megawatthours
2024-01-01T23,CE,Commonwealth Edison zone,PJM,"PJM Interconnection, LLC",10535,megawatthours
2024-01-01T23,BC,Baltimore Gas & Electric zone,PJM,"PJM Interconnection, LLC",4019,megawatthours
2024-01-01T23,ATSI,"American Transmission Systems, Inc. zone",PJM,"PJM Interconnection, LLC",7765,megawatthours
2024-01-01T23,AP,Allegheny Power zone,PJM,"PJM Interconnection, LLC",6555,megawatthours
2024-01-01T23,AEP,American Electric Power zone,PJM,"PJM Interconnection, LLC",15755,megawatthours
2024-01-01T23,AE,Atlantic Electric zone,PJM,"PJM Interconnection, LLC",1278,megawatthours
2024-01-01T23,ZONK,Long Island,NYIS,New York Independent System Operator,2504,megawatthours
2024-01-01T23,ZONJ,New York City,NYIS,New York Independent System Operator,5465,megawatthours
